source,target
56962748100,8293489400
26662433500,56962748100
26662433500,8293489400
7007026767,26662433500
7007026767,56962748100
7007026767,8293489400
7003460110,26662433500
7003460110,56962748100
7003460110,7007026767
7003460110,8293489400
7004619776,26662433500
7004619776,56962748100
7004619776,7003460110
7004619776,7007026767
7004619776,8293489400
26027343900,26662433500
26027343900,56962748100
26027343900,7003460110
26027343900,7004619776
26027343900,7007026767
26027343900,8293489400
22953013200,26027343900
22953013200,26662433500
22953013200,56962748100
22953013200,7003460110
22953013200,7004619776
22953013200,7007026767
22953013200,8293489400
55797479000,22953013200
55797479000,26027343900
55797479000,26662433500
55797479000,56962748100
55797479000,7003460110
55797479000,7004619776
55797479000,7007026767
55797479000,8293489400
57209048266,22953013200
57209048266,26027343900
57209048266,26662433500
57209048266,55797479000
57209048266,56962748100
57209048266,7003460110
57209048266,7004619776
57209048266,7007026767
57209048266,8293489400
26036997300,22953013200
26036997300,26027343900
26036997300,26662433500
26036997300,55797479000
26036997300,56962748100
26036997300,57209048266
26036997300,7003460110
26036997300,7004619776
26036997300,7007026767
26036997300,8293489400
6602822939,22953013200
6602822939,26027343900
6602822939,26036997300
6602822939,26662433500
6602822939,55797479000
6602822939,56962748100
6602822939,57209048266
6602822939,7003460110
6602822939,7004619776
6602822939,7007026767
6602822939,8293489400
6701640541,22953013200
6701640541,26027343900
6701640541,26036997300
6701640541,26662433500
6701640541,55797479000
6701640541,56962748100
6701640541,57209048266
6701640541,6602822939
6701640541,7003460110
6701640541,7004619776
6701640541,7007026767
6701640541,8293489400
36616828000,22953013200
36616828000,26027343900
36616828000,26036997300
36616828000,26662433500
36616828000,55797479000
36616828000,56962748100
36616828000,57209048266
36616828000,6602822939
36616828000,6701640541
36616828000,7003460110
36616828000,7004619776
36616828000,7007026767
36616828000,8293489400
56798232200,22953013200
56798232200,26027343900
56798232200,26036997300
56798232200,26662433500
56798232200,36616828000
56798232200,55797479000
56798232200,56962748100
56798232200,57209048266
56798232200,6602822939
56798232200,6701640541
56798232200,7003460110
56798232200,7004619776
56798232200,7007026767
56798232200,8293489400
6603238769,22953013200
6603238769,26027343900
6603238769,26036997300
6603238769,26662433500
6603238769,36616828000
6603238769,55797479000
6603238769,56798232200
6603238769,56962748100
6603238769,57209048266
6603238769,6602822939
6603238769,6701640541
6603238769,7003460110
6603238769,7004619776
6603238769,7007026767
6603238769,8293489400
35799733700,22953013200
35799733700,26027343900
35799733700,26036997300
35799733700,26662433500
35799733700,36616828000
35799733700,55797479000
35799733700,56798232200
35799733700,56962748100
35799733700,57209048266
35799733700,6602822939
35799733700,6603238769
35799733700,6701640541
35799733700,7003460110
35799733700,7004619776
35799733700,7007026767
35799733700,8293489400
57194206017,22953013200
57194206017,26027343900
57194206017,26036997300
57194206017,26662433500
57194206017,35799733700
57194206017,36616828000
57194206017,55797479000
57194206017,56798232200
57194206017,56962748100
57194206017,57209048266
57194206017,6602822939
57194206017,6603238769
57194206017,6701640541
57194206017,7003460110
57194206017,7004619776
57194206017,7007026767
57194206017,8293489400
18133799700,22953013200
18133799700,26027343900
18133799700,26036997300
18133799700,26662433500
18133799700,35799733700
18133799700,36616828000
18133799700,55797479000
18133799700,56798232200
18133799700,56962748100
18133799700,57194206017
18133799700,57209048266
18133799700,6602822939
18133799700,6603238769
18133799700,6701640541
18133799700,7003460110
18133799700,7004619776
18133799700,7007026767
18133799700,8293489400
6507828417,18133799700
6507828417,22953013200
6507828417,26027343900
6507828417,26036997300
6507828417,26662433500
6507828417,35799733700
6507828417,36616828000
6507828417,55797479000
6507828417,56798232200
6507828417,56962748100
6507828417,57194206017
6507828417,57209048266
6507828417,6602822939
6507828417,6603238769
6507828417,6701640541
6507828417,7003460110
6507828417,7004619776
6507828417,7007026767
6507828417,8293489400
26531083100,18133799700
26531083100,22953013200
26531083100,26027343900
26531083100,26036997300
26531083100,26662433500
26531083100,35799733700
26531083100,36616828000
26531083100,55797479000
26531083100,56798232200
26531083100,56962748100
26531083100,57194206017
26531083100,57209048266
26531083100,6507828417
26531083100,6602822939
26531083100,6603238769
26531083100,6701640541
26531083100,7003460110
26531083100,7004619776
26531083100,7007026767
26531083100,8293489400
16444317900,18133799700
16444317900,22953013200
16444317900,26027343900
16444317900,26036997300
16444317900,26531083100
16444317900,26662433500
16444317900,35799733700
16444317900,36616828000
16444317900,55797479000
16444317900,56798232200
16444317900,56962748100
16444317900,57194206017
16444317900,57209048266
16444317900,6507828417
16444317900,6602822939
16444317900,6603238769
16444317900,6701640541
16444317900,7003460110
16444317900,7004619776
16444317900,7007026767
16444317900,8293489400
55958012700,16444317900
55958012700,18133799700
55958012700,22953013200
55958012700,26027343900
55958012700,26036997300
55958012700,26531083100
55958012700,26662433500
55958012700,35799733700
55958012700,36616828000
55958012700,55797479000
55958012700,56798232200
55958012700,56962748100
55958012700,57194206017
55958012700,57209048266
55958012700,6507828417
55958012700,6602822939
55958012700,6603238769
55958012700,6701640541
55958012700,7003460110
55958012700,7004619776
55958012700,7007026767
55958012700,8293489400
22985451600,16444317900
22985451600,18133799700
22985451600,22953013200
22985451600,26027343900
22985451600,26036997300
22985451600,26531083100
22985451600,26662433500
22985451600,35799733700
22985451600,36616828000
22985451600,55797479000
22985451600,55958012700
22985451600,56798232200
22985451600,56962748100
22985451600,57194206017
22985451600,57209048266
22985451600,6507828417
22985451600,6602822939
22985451600,6603238769
22985451600,6701640541
22985451600,7003460110
22985451600,7004619776
22985451600,7007026767
22985451600,8293489400
57197266228,16444317900
57197266228,18133799700
57197266228,22953013200
57197266228,22985451600
57197266228,26027343900
57197266228,26036997300
57197266228,26531083100
57197266228,26662433500
57197266228,35799733700
57197266228,36616828000
57197266228,55797479000
57197266228,55958012700
57197266228,56798232200
57197266228,56962748100
57197266228,57194206017
57197266228,57209048266
57197266228,6507828417
57197266228,6602822939
57197266228,6603238769
57197266228,6701640541
57197266228,7003460110
57197266228,7004619776
57197266228,7007026767
57197266228,8293489400
6603651439,16444317900
6603651439,18133799700
6603651439,22953013200
6603651439,22985451600
6603651439,26027343900
6603651439,26036997300
6603651439,26531083100
6603651439,26662433500
6603651439,35799733700
6603651439,36616828000
6603651439,55797479000
6603651439,55958012700
6603651439,56798232200
6603651439,56962748100
6603651439,57194206017
6603651439,57197266228
6603651439,57209048266
6603651439,6507828417
6603651439,6602822939
6603651439,6603238769
6603651439,6701640541
6603651439,7003460110
6603651439,7004619776
6603651439,7007026767
6603651439,8293489400
7102937210,16444317900
7102937210,18133799700
7102937210,22953013200
7102937210,22985451600
7102937210,26027343900
7102937210,26036997300
7102937210,26531083100
7102937210,26662433500
7102937210,35799733700
7102937210,36616828000
7102937210,55797479000
7102937210,55958012700
7102937210,56798232200
7102937210,56962748100
7102937210,57194206017
7102937210,57197266228
7102937210,57209048266
7102937210,6507828417
7102937210,6602822939
7102937210,6603238769
7102937210,6603651439
7102937210,6701640541
7102937210,7003460110
7102937210,7004619776
7102937210,7007026767
7102937210,8293489400
8928301700,16444317900
8928301700,18133799700
8928301700,22953013200
8928301700,22985451600
8928301700,26027343900
8928301700,26036997300
8928301700,26531083100
8928301700,26662433500
8928301700,35799733700
8928301700,36616828000
8928301700,55797479000
8928301700,55958012700
8928301700,56798232200
8928301700,56962748100
8928301700,57194206017
8928301700,57197266228
8928301700,57209048266
8928301700,6507828417
8928301700,6602822939
8928301700,6603238769
8928301700,6603651439
8928301700,6701640541
8928301700,7003460110
8928301700,7004619776
8928301700,7007026767
8928301700,7102937210
8928301700,8293489400
6602183651,16444317900
6602183651,18133799700
6602183651,22953013200
6602183651,22985451600
6602183651,26027343900
6602183651,26036997300
6602183651,26531083100
6602183651,26662433500
6602183651,35799733700
6602183651,36616828000
6602183651,55797479000
6602183651,55958012700
6602183651,56798232200
6602183651,56962748100
6602183651,57194206017
6602183651,57197266228
6602183651,57209048266
6602183651,6507828417
6602183651,6602822939
6602183651,6603238769
6602183651,6603651439
6602183651,6701640541
6602183651,7003460110
6602183651,7004619776
6602183651,7007026767
6602183651,7102937210
6602183651,8293489400
6602183651,8928301700
7003337933,16444317900
7003337933,18133799700
7003337933,22953013200
7003337933,22985451600
7003337933,26027343900
7003337933,26036997300
7003337933,26531083100
7003337933,26662433500
7003337933,35799733700
7003337933,36616828000
7003337933,55797479000
7003337933,55958012700
7003337933,56798232200
7003337933,56962748100
7003337933,57194206017
7003337933,57197266228
7003337933,57209048266
7003337933,6507828417
7003337933,6602183651
7003337933,6602822939
7003337933,6603238769
7003337933,6603651439
7003337933,6701640541
7003337933,7003460110
7003337933,7004619776
7003337933,7007026767
7003337933,7102937210
7003337933,8293489400
7003337933,8928301700
35805670500,16444317900
35805670500,18133799700
35805670500,22953013200
35805670500,22985451600
35805670500,26027343900
35805670500,26036997300
35805670500,26531083100
35805670500,26662433500
35805670500,35799733700
35805670500,36616828000
35805670500,55797479000
35805670500,55958012700
35805670500,56798232200
35805670500,56962748100
35805670500,57194206017
35805670500,57197266228
35805670500,57209048266
35805670500,6507828417
35805670500,6602183651
35805670500,6602822939
35805670500,6603238769
35805670500,6603651439
35805670500,6701640541
35805670500,7003337933
35805670500,7003460110
35805670500,7004619776
35805670500,7007026767
35805670500,7102937210
35805670500,8293489400
35805670500,8928301700
23486297000,16444317900
23486297000,18133799700
23486297000,22953013200
23486297000,22985451600
23486297000,26027343900
23486297000,26036997300
23486297000,26531083100
23486297000,26662433500
23486297000,35799733700
23486297000,35805670500
23486297000,36616828000
23486297000,55797479000
23486297000,55958012700
23486297000,56798232200
23486297000,56962748100
23486297000,57194206017
23486297000,57197266228
23486297000,57209048266
23486297000,6507828417
23486297000,6602183651
23486297000,6602822939
23486297000,6603238769
23486297000,6603651439
23486297000,6701640541
23486297000,7003337933
23486297000,7003460110
23486297000,7004619776
23486297000,7007026767
23486297000,7102937210
23486297000,8293489400
