source,target
57211295288,7003752140
57303898100,57211295288
57303898100,7003752140
6507758167,57211295288
6507758167,57303898100
6507758167,7003752140
55834961100,57211295288
55834961100,57303898100
55834961100,6507758167
55834961100,7003752140
56268942200,55834961100
56268942200,57211295288
56268942200,57303898100
56268942200,6507758167
56268942200,7003752140
57209330641,55834961100
57209330641,56268942200
57209330641,57211295288
57209330641,57303898100
57209330641,6507758167
57209330641,7003752140
55851027500,55834961100
55851027500,56268942200
55851027500,57209330641
55851027500,57211295288
55851027500,57303898100
55851027500,6507758167
55851027500,7003752140
25627781700,55834961100
25627781700,55851027500
25627781700,56268942200
25627781700,57209330641
25627781700,57211295288
25627781700,57303898100
25627781700,6507758167
25627781700,7003752140
35262167600,25627781700
35262167600,55834961100
35262167600,55851027500
35262167600,56268942200
35262167600,57209330641
35262167600,57211295288
35262167600,57303898100
35262167600,6507758167
35262167600,7003752140
7201947465,25627781700
7201947465,35262167600
7201947465,55834961100
7201947465,55851027500
7201947465,56268942200
7201947465,57209330641
7201947465,57211295288
7201947465,57303898100
7201947465,6507758167
7201947465,7003752140
35510108300,25627781700
35510108300,35262167600
35510108300,55834961100
35510108300,55851027500
35510108300,56268942200
35510108300,57209330641
35510108300,57211295288
35510108300,57303898100
35510108300,6507758167
35510108300,7003752140
35510108300,7201947465
9245953700,25627781700
9245953700,35262167600
9245953700,35510108300
9245953700,55834961100
9245953700,55851027500
9245953700,56268942200
9245953700,57209330641
9245953700,57211295288
9245953700,57303898100
9245953700,6507758167
9245953700,7003752140
9245953700,7201947465
57111796600,25627781700
57111796600,35262167600
57111796600,35510108300
57111796600,55834961100
57111796600,55851027500
57111796600,56268942200
57111796600,57209330641
57111796600,57211295288
57111796600,57303898100
57111796600,6507758167
57111796600,7003752140
57111796600,7201947465
57111796600,9245953700
54682189500,25627781700
54682189500,35262167600
54682189500,35510108300
54682189500,55834961100
54682189500,55851027500
54682189500,56268942200
54682189500,57111796600
54682189500,57209330641
54682189500,57211295288
54682189500,57303898100
54682189500,6507758167
54682189500,7003752140
54682189500,7201947465
54682189500,9245953700
57303591700,25627781700
57303591700,35262167600
57303591700,35510108300
57303591700,54682189500
57303591700,55834961100
57303591700,55851027500
57303591700,56268942200
57303591700,57111796600
57303591700,57209330641
57303591700,57211295288
57303591700,57303898100
57303591700,6507758167
57303591700,7003752140
57303591700,7201947465
57303591700,9245953700
57304047600,25627781700
57304047600,35262167600
57304047600,35510108300
57304047600,54682189500
57304047600,55834961100
57304047600,55851027500
57304047600,56268942200
57304047600,57111796600
57304047600,57209330641
57304047600,57211295288
57304047600,57303591700
57304047600,57303898100
57304047600,6507758167
57304047600,7003752140
57304047600,7201947465
57304047600,9245953700
57210077555,25627781700
57210077555,35262167600
57210077555,35510108300
57210077555,54682189500
57210077555,55834961100
57210077555,55851027500
57210077555,56268942200
57210077555,57111796600
57210077555,57209330641
57210077555,57211295288
57210077555,57303591700
57210077555,57303898100
57210077555,57304047600
57210077555,6507758167
57210077555,7003752140
57210077555,7201947465
57210077555,9245953700
57303748000,25627781700
57303748000,35262167600
57303748000,35510108300
57303748000,54682189500
57303748000,55834961100
57303748000,55851027500
57303748000,56268942200
57303748000,57111796600
57303748000,57209330641
57303748000,57210077555
57303748000,57211295288
57303748000,57303591700
57303748000,57303898100
57303748000,57304047600
57303748000,6507758167
57303748000,7003752140
57303748000,7201947465
57303748000,9245953700
57303898300,25627781700
57303898300,35262167600
57303898300,35510108300
57303898300,54682189500
57303898300,55834961100
57303898300,55851027500
57303898300,56268942200
57303898300,57111796600
57303898300,57209330641
57303898300,57210077555
57303898300,57211295288
