id,name,country,papers count
26037231600,"Boobbyer, Philip",United kingdom,4
13408447500,"Ginsburgs, George",United kingdom,4
57189400206,"Adade, Charles Quist",Canada,1
7004326556,"Murrell, Peter",Belgium,4
57097473200,"Sturua, Georgi M.",Russian federation,1
23127638800,"Manning, Brenda H.",United states,1
7101850955,"Payne, Beverly D.",United states,1
57013185400,"Kovner, Milton",United states,1
36942873700,"Ginzburg, Lev",Russian federation,1
6506145313,"Kauppinen-Toropainen, Kaisa",Finland,1
7101971241,"Gruber, James E.",United states,1
6603390833,"Dushenkov, Vjacheslav M.",Russian federation,1
8542236100,"Akhundov, Murad D.",United states,2
7006186678,"Templer, Donald I.",United states,1
36819532900,"Griffin, Patricia R.",United states,1
7004117046,"Hintze, Julie",United states,1
55856425700,"Blank, Stephen J.",United states,13
56272937700,"Reilly, David H.",United states,2
57214546773,"Dement'eva, I.",United states,1
57213637679,"Adler, Nanci",Switzerland,1
35847302000,"Lindsey, Duncan",Canada,1
26967699600,"Kasavin, Ilya",Russian federation,1
6506246809,"Artobolevskiy, Sergei S.",Netherlands,1
6603463213,"Munipov, V.",Russian federation,4
58938089500,"Kuvaldin, Viktor B.",Russian federation,1
24578550400,"Aman, Mohammed M.",United states,1
7005801987,"Chalmers, Malcolm",United kingdom,1
57012850300,"Savelyev, Aleksandr G.",Russian federation,1
57013012000,"Detinov, Nikolay N.",Russian federation,1
57157043700,"Iudin, A.A.",United states,1
14832840200,"Lisauskene, M.V.",United states,1
57157445200,"Ov-siannikov, A.A.",United states,1
6603794984,"Rotman, D.G.",Belarus,6
57157444600,"Riazantsev, V.V.",United states,1
7005015066,"Sviridov, N.A.",United states,1
57157295600,"Shmerlina, M.A.",United states,1
56897643500,"Goorersmith, Jonatham",United states,1
57071746800,"Kikuta, Koichi",Japan,1
58413992600,"Ekstrom, Carl D.",United states,1
57011169000,"Mikhaylov, Y.P.",Russian federation,1
14008233600,"Davies, R.W.",United kingdom,10
56786319100,"Mazaraki, A.",Ukraine,1
24287034700,"Voronova, E.",Ukraine,1
36705638000,"Curtin, Michael",United states,1
57189164374,"Thompson, Angela M.",United states,1
57188801422,"Bresler, Robert J.",United states,1
7801343723,"Coalson, Bob",United states,1
57010816700,"Abrams, Sylvia",United states,1
53563443900,"Biryukov, Nikolai",Russian federation,3
24370896000,"Sergeev, V.M.",Russian federation,5
57189410581,"Filippov, Alexander F.",Russian federation,5
57085345900,"Abdil’din, S.",Kazakhstan,1
7004697183,"Dombrowski, Peter",United states,3
57214016607,"Epstein, Seymour",United states,1
57041615700,"Hudson, Hugh D.",United states,1
7402455958,"Hoffman, Alan J.",United states,1
57225810474,"Baker, Philip",United kingdom,1
7201993791,"Katritzky, Alan R.",United states,1
6603029994,"Cato, Stephen J.",United states,1
6508266357,"Deyrup, James A.",United states,1
7201377504,"Winter, David G.",United states,5
6602937517,"Granberg, Alexander G.",Russian federation,1
24449702300,"Raiklin, Ernest",United states,11
7102541253,"Thakur, Ramesh",New zealand,1
24360428400,"Lubrano, Linda L",United states,1
57221572523,"li, Jieli",United states,1
8550150900,"Müllerson, Rein",Estonia,2
6506900210,"Guslitser, B.I.",Russian federation,1
7102831560,"Pavlov, P. Yu.",Russian federation,1
57198854706,"Kohli, Manorama",India,1
6508121783,"Van Arkadie, Brian",Tanzania,1
6506697180,"Hayter, D.M.",Netherlands,1
7402555200,"Ho, Y.P.",Hong kong,1
7003651819,"Kueh, Y.Y.",Hong kong,1
6508334037,"Tomusk, Voldemar",Estonia,7
56624415000,"Tomusk, Anu",Estonian chamber of commerce and industry,1
16155274800,"Barron, Ruth A.",United states,1
7004756504,"Leaning, Jennifer",United states,1
7006360849,"Rumack, Barry H.",United states,1
15137600300,"Vetik, Raivo",Estonia,1
6603922302,"Paasi, A.",Hungary,2
57198433918,"Robinson, John P.",United states,1
6701793846,"Gurr, Ted Robert",United states,1
36592738000,"Kurbanov, Erjan",United states,1
55675894000,"McHale, Stephen",United states,1
36593364800,"Slepenkov, Ivan",Russian federation,1
35997816700,"Johnston, Hank",United states,3
56530701700,"O’Neil, Patrick",United states,1
26429482100,"Hughes, Michael",United kingdom,1
57156929900,"Scherer, John L.",United states,1
57082572500,"Jakobson, Michael",United states,1
7006432657,"Crump, Jeff R.",United states,1
54907566200,"Archer, J.Clark",United states,1
7003822065,"Gleason, Gregory",United states,5
9633802100,"Buck, S.J.",United states,2
6603380837,"Galili, Igal",Israel,1
15066806200,"Bonneau, Marcia",United states,1
17434542900,"Krasnodębski, Zdzisław",Germany,1
7402271047,"Peterson, Mark F.",United states,1
7003333435,"Roquebert, Jaime",United states,1
7005600530,"Polin, A.K.",Russian federation,1
36886880400,"Kamenetskaya, E.",Russian republic,1
6507405191,"Vereshchetin, V.",Russian republic,1
57197905447,"Zhukova, E.",Russian republic,1
7005971857,"Wagener, Hans-Jürgen",Germany,2
7403545776,"Harrison, David",United kingdom,1
36941435400,"Huttenbach, Henry R.",United states,1
7403874739,"Harris, Chauncy D.",United states,2
6602891832,"Lagerspetz, Mikko",Finland,6
36943762700,"Eberstadt, Nicholas",United states,3
7403389716,"Gibson, James L.",United states,8
37861777900,"Kutsar, Dagmar",Estonia,3
56445377200,"Trumm, Avo",Estonia,2
24360804100,"Rabkin, Yakov M.",Canada,3
6602591591,"Mirskaya, Elena Z.",Russian federation,4
55588505900,"Marsh, Rosalind J.",United kingdom,5
24283966000,"Halmari, Helena",United states,1
7005840459,"Höhmann, Hans-Hermann",Germany,2
36797983700,"Meier, Christian",Germany,2
7004335695,"Timmermann, Heinz",Germany,4
16555235400,"Kitaev, Igor V.",France,2
6602304182,"Kolstø, Pål",Norway,14
7402969582,"Clarke, Simon",United kingdom,3
7403350533,"Collins, Randall",United states,2
56930535300,"Kreindler, Isabelle T.",Israel,3
6602918702,"Misztal, Barbara A.",Australia,1
6602512392,"Dowall, David E.",United states,2
7003928233,"Abadi, Jacob",United states,5
6603313232,"Ronnås, Per",Sweden,2
56937109400,"Skillen, Chris",United kingdom,1
55603046000,"Alleyne, Mark D.",United states,1
57189424103,"Wagner, Janet",United states,1
6602966474,"Kneen, Peter",United kingdom,3
56213763000,"Zimmerman, William",United states,9
6603629416,"Berbaum, Michael L.",United states,1
57208042351,"Kerig, Patricia K.",Canada,1
57189555957,"Alyoshina, Yulya Y.",Russian federation,1
6603427969,"Volovich, Alia S.",Russian federation,1
24289921400,"Lewarne, Stephen",United states,1
7006615404,"Eberhardt, Piotr",Poland,22
57213860324,"Collins, Paul",United kingdom,1
6602900427,"Nixson, Frederick",United kingdom,2
7004292037,"Doron, Abraham",Israel,1
6505768752,"Kargar, Howard Jacob",United states,1
7402602919,"Olson, Robert",United states,2
57204488535,"Plous, S.",United states,1
58344206000,"Richter, James",United states,1
7103162534,"Kuznetsov, Evgenii",Russian federation,2
7101964615,"Barrett, Brendon",United kingdom,1
7402992980,"Campbell, Robert",United kingdom,1
6602194576,"Spohn, Ewa",United kingdom,1
6506260722,"Kushnirsky, F.I.",United states,4
6504517639,"Kanayev, L.A.",Russian federation,1
57084539100,"Boyce, J.H.",University of manchester,1
7403216635,"Clark, Terry Nichols",United states,2
14043959200,"Stepashin, Sergey",United kingdom,1
14011957700,"Kosonen, R.",Finland,1
6701683340,"Meslé, France",France,16
7003725149,"Shkolnikov, Vladimir M.",Russian federation,7
7005940807,"Vallin, Jacques",France,14
6603739622,"Brams, Steven J.",United states,1
6602950546,"Mattli, Walter",United states,1
57065473900,"Matejko, Alexander J.",Canada,1
6506115192,"Pryjomko, Roman",United states,1
6701665788,"Dalby, Simon",Canada,1
7003931435,"Drysdale, Alasdair",United states,1
6507234101,"Travica, Bob",United states,2
7201408767,"Hogan, Matthew",United states,1
6506938933,"Nolutshungu, Sam C.",United states,1
6601924314,"Carbaugh, Donal",United states,1
7004196844,"Nijman, Jan",United states,2
56213334700,"Gibb, R.",United kingdom,1
6701818645,"Michalak, W.",United kingdom,1
6603601706,"Grava, Sigurd",United states,3
57391862100,"Schellhorn, Kai M.",Germany,1
7202544715,"Peters, Hans J.",United states,1
56936907600,"Shipunov, V.G.",United states,1
6701616413,"Spoor, Max",Netherlands,10
55169980800,"Chandra, Nirmal Kumar",India,3
7202908182,"Jacobs, Kenneth",Canada,4
56937032800,"Dakhtler, A.F.",Kazakhstan,1
6506155079,"Heitman, Sidney",United states,3
57036617900,"Mason, Florence M.",United states,1
7007022404,"Glantz, Michael H",United states,1
7102389188,"Rubinstein, Alvin Z.",United states,6
6602501497,"Zonn, Igor",Russian federation,3
35890878200,"Resnick, Stephen",United states,4
7201588537,"Wolff, Richard",United states,4
6701820351,"Orlowski, Lucjan T.",Germany,1
24349309700,"Samonis, Valdas",Canada,1
8641003900,"Wolfe, Joseph",University of tulsa,1
7003287254,"Canfield, Jeffrey Lee",United states,1
8924724200,"Hirst, Paul",United kingdom,1
7403077745,"Thompson, Grahame",United kingdom,1
16422016900,"McLachlan, Keith",United kingdom,2
57122575800,"Yeong, Mike",Singapore,1
7402986626,"Popov, A.A.",Russian federation,1
7202862245,"Visser, A.P.",Russian federation,1
57189007636,"Ketting, E.",Russian federation,1
7403516160,"Clark, William A.",United states,2
6602420862,"Ickes, Barry W.",United states,4
6506632161,"Ryterman, Randi",World bank,3
26025728200,"Lempert, David",United states,2
39461277500,"Eribo, Festus",United states,2
6701741792,"ROMEM, Y.",Israel,1
7004408747,"BENOR, D.E.",Israel,1
6507999313,"Tompson, William J.",United kingdom,5
7005065885,"Arunachalam, V.S.",United states,1
6701922429,"Rausser, Gordon C.",United states,1
8969005400,"Johnson, S.R.",United states,1
7003339599,"Callaway, Donald G.",United states,1
7801331164,"Pilyasov, A.N.",Russian federation,8
7006492280,"Sjöberg, Örjan",Sweden,5
55057826200,"Schneider, Gerald",Switzerland,1
55937069400,"Widmer, Thomas",Switzerland,1
6505861661,"Ruloff, Dieter",Switzerland,1
6504362585,"Jofuku, M.S.",United states,1
8119739800,"Juviler, Peter H.",United states,2
7202513919,"Webster, Gerald R.",United states,1
6507735207,"Steinherr, Alfred",Luxembourg,1
6603942642,"Brada, Josef C.",United states,2
7401594388,"Harrison, Mark",United kingdom,10
57224184144,"Wood, Janice",United states,1
16421336800,"Lupher, Mark",United states,2
23398055400,"Quigley, John",United states,4
7005674622,"Dou, Henri",France,1
6508016987,"Hassanaly, Parina",France,1
6603405819,"Quoniam, Luc",France,1
24348172400,"La Tela, Albert",France,1
6503972846,"Kirkinen, H.",Finland,1
37761241500,"Grancelli, Bruno",Italy,1
7403577993,"Zhao, Suisheng",United states,3
7004675384,"Coale, Ansley J.",United states,1
6508304525,"Pleskovic, Boris",United states,1
25625018300,"Krapauskas, Virgil",United states,1
56010230000,"Wincott, Daniel",United kingdom,1
8859496700,"Meyers, Roy T.",United states,1
6603211831,"Heisbourg, Francois",International institute for strategic studies,1
6701470869,"Markowitz, F.",Israel,7
7102403267,"Popov, Mikhail I.",Ukraine,2
15751966900,"Trumbull, William N.",United states,2
57350779300,"Petersen, Phillip",United states,4
9638822200,"Elliott, John E.",United states,2
57198856729,"Kagalkar, Pratibha C.",India,1
7003764614,"Kovalevsky, V.S.",Russian federation,1
36974487300,"Winrow, Gareth M.",Turkey,2
16418864600,"De Laet, Jean-Pierre",Belgium,1
6602971204,"Bunkśe, Edmunds",United states,3
35753494100,"Markovits, Andrei S.",United states,1
6603198288,"Lijun, Sheng",Singapore,2
57225330012,"Weitz, Richard",United states,2
35835604200,"Travis, Rick",United states,1
6701559669,"Zahariadis, Nikolaos",United states,1
57191111352,"Ballard, E. Peny",United states,1
16422361300,"Pastor, A.",Spain,1
7006482943,"Criado, E.",Spain,1
57084797700,"Tabory, Mala",Israel,2
58665210800,"Zvi, M.",Israel,1
6507223313,"Van Evera, Stephen",United states,1
16419190600,"Cardani, Angelo M.",Russian federation,1
16420984300,"Maggioni, Simone",Russian federation,1
6602823708,"Gamson, William A.",United states,1
57197124533,"Stuart, David",United states,1
6508383535,"Kamrany, Nake M.",United states,1
6507298662,"Andrusz, Gregory",United kingdom,1
7201474648,"Alexander, Lewis M.",United states,1
57209531483,"Noel, Robert E.",United states,1
6508228244,"Wallander, Celeste A.",United states,4
57017302400,"Tikhomirov, Vladimir",Russian federation,1
57189174753,"Kumar, Krishan",United kingdom,2
57188775877,"Harris, Marvin",United states,1
57012649400,"Kamiński, Antoni",United states,1
57350663500,"Kościuk, Lech",United states,1
14420052200,"Lee III, Rensselaer W.",United states,1
57167193800,"Peck, Shirley S.",United states,1
57223666915,"Mars, Gerald",United kingdom,5
6701591749,"Altman, Yochanan",United kingdom,4
6701773795,"Pryor, Edward T.",Canada,1
57391732100,"Schneider, William",International planning services inc,1
24598551500,"Bociurkiw, Bohdan R.",Canada,1
58459211400,"Wessell, Nils",United states,1
57017157800,"Fourie, Andre",South africa,1
6507666564,"Gitelman, Zvi",United states,11
8360612200,"Black, Lydia T.",United states,1
35122081100,"Renaud, Bertrand",United states,2
57189565490,"Clemens, Diane S.",United states,1
57190060519,"Michael, Daniel",United states,1
7005461765,"Marullo, Sam",United states,1
16422573400,"Poljakov, V.I.",Russian federation,1
16423413700,"Surganova, D.B.",Russian federation,1
16420044100,"Granovsky, Yu.V.",Russian federation,1
16421136900,"Luibimova, T.N.",Russian federation,1
16421924100,"Murashova, T.I.",Russian federation,1
16421891400,"Myatlev, V.D.",Russian federation,1
