source,target,weight
16446840900,6507865137,0.5
16422447200,57036531500,0.5
6603180801,6603644693,0.5
57191946407,57191947533,0.25
57191946407,7402353829,0.25
57191946407,7402975514,0.25
57191947533,7402353829,0.5
57191947533,7402975514,0.25
7402353829,7402975514,0.25
16445520600,7102956820,0.5
58338795400,7801664753,0.5
36869371800,36954328800,0.125
36869371800,57195959148,0.125
36869371800,6506590209,0.125
36869371800,6701613748,0.125
36869371800,7101839949,0.125
36869371800,7102172021,0.125
36869371800,7102467622,0.125
36954328800,57195959148,0.125
36954328800,6506590209,0.125
36954328800,6701613748,0.125
36954328800,7101839949,0.125
36954328800,7102172021,0.125
36954328800,7102467622,0.125
57195959148,6506590209,0.125
57195959148,6701613748,0.125
57195959148,7101839949,0.125
57195959148,7102172021,0.125
57195959148,7102467622,0.125
6506590209,6701613748,0.125
6506590209,7101839949,0.125
6506590209,7102172021,0.125
6506590209,7102467622,0.125
6701613748,7101839949,0.125
6701613748,7102172021,0.125
6701613748,7102467622,0.125
7101839949,7102172021,0.125
7101839949,7102467622,0.125
7102172021,7102467622,0.125
16427520100,6601943640,0.5
57065483700,57199931877,0.5
10642133800,27167813200,0.3333333333333333
10642133800,57189650314,0.3333333333333333
27167813200,57189650314,0.3333333333333333
16445703300,16446620200,0.3333333333333333
16445703300,16449742800,0.3333333333333333
16446620200,16449742800,0.3333333333333333
11339130000,7101689993,0.5
16447103100,6602992609,0.5
36812442800,6507341930,0.3333333333333333
36812442800,7202457043,0.3333333333333333
6507341930,7202457043,0.3333333333333333
16430267300,16447692300,0.3333333333333333
16430267300,55476560000,0.3333333333333333
16447692300,55476560000,0.3333333333333333
57189424611,6602970299,0.3333333333333333
57189424611,7203000791,0.3333333333333333
6602970299,7203000791,0.3333333333333333
56633810300,6601911447,0.8333333333333333
7004292892,7006182626,0.3333333333333333
7004292892,7202789269,0.3333333333333333
7006182626,7202789269,0.3333333333333333
7102884485,7202413166,0.5
35953050700,7004308802,0.5
6602367608,6602696044,0.16666666666666666
6602367608,6602850209,0.6666666666666666
6602367608,7004641448,0.3333333333333333
6602367608,7102298376,0.16666666666666666
6602367608,7202494332,0.16666666666666666
6602696044,6602850209,0.16666666666666666
6602696044,7004641448,0.16666666666666666
6602696044,7102298376,0.16666666666666666
6602696044,7202494332,0.16666666666666666
6602850209,7004641448,0.3333333333333333
6602850209,7102298376,0.16666666666666666
6602850209,7202494332,0.16666666666666666
7004641448,7102298376,0.16666666666666666
7004641448,7202494332,0.16666666666666666
7102298376,7202494332,0.16666666666666666
23127638800,7101850955,0.5
6506145313,7101971241,0.5
36819532900,7004117046,0.3333333333333333
36819532900,7006186678,0.3333333333333333
7004117046,7006186678,0.3333333333333333
57012850300,57013012000,0.5
14832840200,57157043700,0.14285714285714285
14832840200,57157295600,0.14285714285714285
14832840200,57157444600,0.14285714285714285
14832840200,57157445200,0.14285714285714285
14832840200,6603794984,0.14285714285714285
14832840200,7005015066,0.14285714285714285
57157043700,57157295600,0.14285714285714285
57157043700,57157444600,0.14285714285714285
57157043700,57157445200,0.14285714285714285
57157043700,6603794984,0.14285714285714285
57157043700,7005015066,0.14285714285714285
57157295600,57157444600,0.14285714285714285
57157295600,57157445200,0.14285714285714285
57157295600,6603794984,0.14285714285714285
57157295600,7005015066,0.14285714285714285
57157444600,57157445200,0.14285714285714285
57157444600,6603794984,0.14285714285714285
57157444600,7005015066,0.14285714285714285
57157445200,6603794984,0.14285714285714285
57157445200,7005015066,0.14285714285714285
6603794984,7005015066,0.14285714285714285
24287034700,56786319100,0.5
24370896000,53563443900,0.8333333333333333
57041615700,7402455958,0.5
6508266357,6603029994,0.3333333333333333
6508266357,7201993791,0.3333333333333333
6603029994,7201993791,0.3333333333333333
6506900210,7102831560,0.5
7003651819,7402555200,0.5
56624415000,6508334037,0.5
16155274800,7004756504,0.3333333333333333
16155274800,7006360849,0.3333333333333333
7004756504,7006360849,0.3333333333333333
36592738000,36593364800,0.2
36592738000,55675894000,0.2
36592738000,57198433918,0.2
36592738000,6701793846,0.2
36593364800,55675894000,0.2
36593364800,57198433918,0.2
36593364800,6701793846,0.2
55675894000,57198433918,0.2
55675894000,6701793846,0.2
57198433918,6701793846,0.2
57082572500,57156929900,0.5
54907566200,7006432657,0.5
7003822065,9633802100,0.8333333333333333
7003333435,7402271047,0.5
36886880400,57197905447,0.3333333333333333
36886880400,6507405191,0.3333333333333333
57197905447,6507405191,0.3333333333333333
37861777900,56445377200,0.5
24360804100,6602591591,1.0
36797983700,7004335695,0.6666666666666666
36797983700,7005840459,0.6666666666666666
7004335695,7005840459,0.6666666666666666
6602286499,7403389716,1.8333333333333333
55603046000,57189424103,0.5
56213763000,6603629416,0.5
57189555957,57208042351,0.3333333333333333
57189555957,6603427969,0.3333333333333333
57208042351,6603427969,0.3333333333333333
57213860324,6602900427,0.5
6505768752,7004292037,0.5
6602194576,7101964615,0.3333333333333333
6602194576,7402992980,0.3333333333333333
7101964615,7402992980,0.3333333333333333
6701683340,7003725149,0.8095238095238095
6701683340,7005940807,4.787301587301587
7003725149,7005940807,0.8095238095238095
6602950546,6603739622,0.5
6507234101,7201408767,0.5
56213334700,6701818645,0.5
6602501497,7007022404,0.3333333333333333
6602501497,7102389188,0.3333333333333333
7007022404,7102389188,0.3333333333333333
35890878200,7201588537,1.6666666666666665
7403077745,8924724200,0.5
57189007636,7202862245,0.3333333333333333
57189007636,7402986626,0.3333333333333333
7202862245,7402986626,0.3333333333333333
6506632161,6602420862,1.0
6701741792,7004408747,0.5
6701922429,8969005400,0.5
7003339599,7801331164,0.5
6603313232,7006492280,0.5
55057826200,55937069400,0.3333333333333333
55057826200,6505861661,0.3333333333333333
55937069400,6505861661,0.3333333333333333
6504362585,7003822065,0.3333333333333333
6504362585,9633802100,0.3333333333333333
24348172400,6508016987,0.25
24348172400,6603405819,0.25
24348172400,7005674622,0.25
6508016987,6603405819,0.25
6508016987,7005674622,0.25
6603405819,7005674622,0.25
15751966900,7102403267,0.5
35835604200,6701559669,0.5
16422361300,16449742800,0.3333333333333333
16422361300,7006482943,0.3333333333333333
16449742800,7006482943,0.3333333333333333
57084797700,58665210800,0.5
16419190600,16420984300,0.5
57197124533,6602823708,0.5
57012649400,57350663500,0.5
57223666915,6701591749,2.0
16422573400,16423413700,0.5
16420044100,16421136900,0.25
16420044100,16421891400,0.25
16420044100,16421924100,0.25
16421136900,16421891400,0.25
16421136900,16421924100,0.25
16421891400,16421924100,0.25
57189585653,7006328243,0.5
56980593700,7004523729,0.5
