source,target
Aziz MA,AceitunoMata L
Belichenko OS,Belichenko O
Hajdari A,Aziz MA
Hajdari A,AceitunoMata L
Hlushko A,Hart RE
Hlushko A,Belichenko O
Hlushko A,Aziz MA
Hlushko A,AceitunoMata L
Hlushko A,Hajdari A
Hrynevich Y,Hart RE
Hrynevich Y,Belichenko O
Hrynevich Y,Aziz MA
Hrynevich Y,Hajdari A
Hrynevich Y,AceitunoMata L
Hrynevich Y,Hlushko A
Jernigan K,Belichenko OS
Jernigan K,Belichenko O
Jernigan KA,Belichenko O
Jernigan KA,Jernigan K
Jernigan KA,Belichenko OS
Kalle R,Hart RE
Kalle R,Hlushko A
Kalle R,Hrynevich Y
Kalle R,Hajdari A
Kalle R,AceitunoMata L
Kalle R,Aziz MA
Kalle R,Belichenko O
Khutsishvili M,Aziz MA
Khutsishvili M,Kalle R
Khutsishvili M,Hlushko A
Khutsishvili M,Hrynevich Y
Khutsishvili M,Hart RE
Kikodze D,Aziz MA
Kikodze D,Kalle R
Kikodze D,Hrynevich Y
Kikodze D,Hlushko A
Kikodze D,Hart RE
Kikodze D,Khutsishvili M
Kikvidze Z,Aziz MA
Kikvidze Z,Kalle R
Kikvidze Z,Hlushko A
Kikvidze Z,Hrynevich Y
Kikvidze Z,Hart RE
Kikvidze Z,Kikodze D
Kikvidze Z,Khutsishvili M
Knureva Y,Hart RE
Knureva Y,Belichenko O
Knureva Y,Aziz MA
Knureva Y,Kikvidze Z
Knureva Y,Khutsishvili M
Knureva Y,Kikodze D
Knureva Y,Hajdari A
Knureva Y,AceitunoMata L
Knureva Y,Kalle R
Knureva Y,Hrynevich Y
Knureva Y,Hlushko A
Kolosova V,Kikodze D
Kolosova V,Khutsishvili M
Kolosova V,Kikvidze Z
Kolosova V,Hlushko A
Kolosova V,Knureva Y
Kolosova V,Hrynevich Y
Kolosova V,Jernigan KA
Kolosova V,Belichenko OS
Kolosova V,Jernigan K
Kolosova V,Hajdari A
Kolosova V,AceitunoMata L
Kolosova V,Kalle R
Kolosova V,Belichenko O
Kolosova VB,Kolosova V
Kolosova VB,Belichenko O
Kolosova VB,Jernigan K
Kolosova VB,Belichenko OS
Kolosova VB,Jernigan KA
KołodziejskaDegórska I,Aziz MA
KołodziejskaDegórska I,Hrynevich Y
KołodziejskaDegórska I,Hlushko A
KołodziejskaDegórska I,Knureva Y
KołodziejskaDegórska I,Kalle R
KołodziejskaDegórska I,Kolosova V
KołodziejskaDegórska I,AceitunoMata L
KołodziejskaDegórska I,Hajdari A
Kõiva M,Hart RE
Kõiva M,Kolosova V
Kõiva M,Aziz MA
Kõiva M,Belichenko O
Kõiva M,Kikvidze Z
Kõiva M,Kikodze D
Kõiva M,Khutsishvili M
Kõiva M,Hajdari A
Kõiva M,KołodziejskaDegórska I
Kõiva M,AceitunoMata L
Kõiva M,Kalle R
Kõiva M,Knureva Y
Kõiva M,Hrynevich Y
Kõiva M,Hlushko A
Litvinava Y,Hart RE
Litvinava Y,Kolosova V
Litvinava Y,Belichenko O
Litvinava Y,Aziz MA
Litvinava Y,Khutsishvili M
Litvinava Y,Kikodze D
Litvinava Y,Kikvidze Z
Litvinava Y,Hajdari A
Litvinava Y,AceitunoMata L
Litvinava Y,KołodziejskaDegórska I
Litvinava Y,Kalle R
Litvinava Y,Kõiva M
Litvinava Y,Knureva Y
Litvinava Y,Hrynevich Y
Litvinava Y,Hlushko A
Mattalia G,Khutsishvili M
Mattalia G,Kikodze D
Mattalia G,Kikvidze Z
Mattalia G,Kolosova V
Mattalia G,Kõiva M
Mattalia G,Belichenko O
Mattalia G,Litvinava Y
Mattalia G,Knureva Y
Mattalia G,Hrynevich Y
Mattalia G,Hlushko A
Mattalia G,Kalle R
Mattalia G,Aziz MA
Melnikov D,Khutsishvili M
Melnikov D,Kikodze D
Melnikov D,Kikvidze Z
Melnikov D,Aziz MA
Melnikov D,Mattalia G
Melnikov D,Kõiva M
Melnikov D,Litvinava Y
Melnikov D,Hrynevich Y
Melnikov D,Knureva Y
Melnikov D,Hlushko A
Melnikov D,Kalle R
Melnikov D,Kolosova V
Melnikov D,Belichenko O
MenendezBaceta G,Aziz MA
MenendezBaceta G,Kõiva M
MenendezBaceta G,Litvinava Y
MenendezBaceta G,Knureva Y
MenendezBaceta G,Hlushko A
MenendezBaceta G,Hrynevich Y
MenendezBaceta G,Kalle R
MenendezBaceta G,Kolosova V
MenendezBaceta G,AceitunoMata L
MenendezBaceta G,Hajdari A
MenendezBaceta G,KołodziejskaDegórska I
Mustafa B,Aziz MA
Mustafa B,Kõiva M
Mustafa B,Litvinava Y
Mustafa B,Hrynevich Y
Mustafa B,Knureva Y
Mustafa B,Hlushko A
Mustafa B,Kalle R
