source,target
Allain B,Abdrahmanova K
Alonso CE,Akhtar Z
Altınörs A,Akhtar Z
Altınörs A,Alonso CE
Aralbay S,Allain B
Aralbay S,Abdrahmanova K
Arrington RS,Akhtar Z
Arrington RS,Abdrahmanova K
Arrington RS,Aralbay S
Arrington RS,Allain B
Arrington RS,Alonso CE
Arrington RS,Altınörs A
Artinian A,Arrington RS
Artinian A,Aralbay S
Artinian A,Abdrahmanova K
Baldacchino J,Allain B
Baldacchino J,Aralbay S
Baldacchino J,Abdrahmanova K
Barros C,Akhtar Z
Barros C,Allain B
Barros C,Alonso CE
Barros C,Altınörs A
Bates D,Akhtar Z
Bates D,Artinian A
Bates D,Arrington RS
Bates D,Alonso CE
Bates D,Altınörs A
Bates D,Baldacchino J
Bates D,Aralbay S
Bates D,Abdrahmanova K
Bates D,Allain B
Bekezhan О,Arrington RS
Bekezhan О,Artinian A
Bekezhan О,Allain B
Bekezhan О,Baldacchino J
Bekezhan О,Bates D
Bekezhan О,Abdrahmanova K
Bekezhan О,Aralbay S
Beresneva N,Abdrahmanova K
Beresneva N,Allain B
Beresneva N,Aralbay S
Beresneva N,Bekezhan О
Beresneva N,Arrington RS
Beresneva N,Bates D
Bogomolova AV,Baldacchino J
Bogomolova AV,Artinian A
Bogomolova AV,Akhtar Z
Bogomolova AV,Aralbay S
Bogomolova AV,Bekezhan О
Bogomolova AV,Allain B
Bogomolova AV,Abdrahmanova K
Bogomolova AV,Arrington RS
Bogomolova AV,Alonso CE
Bogomolova AV,Altınörs A
Bogomolova AV,Bates D
Bowser D,Bartov O
Bronner SE,Akhtar Z
Bronner SE,Artinian A
Bronner SE,Abdrahmanova K
Bronner SE,Allain B
Bronner SE,Aralbay S
Bronner SE,Bekezhan О
Bronner SE,Alonso CE
Bronner SE,Arrington RS
Bronner SE,Bogomolova AV
Bronner SE,Bates D
Bronner SE,Altınörs A
Bunge M,Beresneva N
Bunge M,Barros C
Bunge M,Baldacchino J
Bunge M,Artinian A
Bunge M,Akhtar Z
Bunge M,Allain B
Bunge M,Aralbay S
Bunge M,Abdrahmanova K
Bunge M,Bekezhan О
Bunge M,Bronner SE
Bunge M,Arrington RS
Bunge M,Alonso CE
Bunge M,Altınörs A
Bunge M,Bogomolova AV
Bunge M,Bates D
Burchill S,Alonso CE
Burchill S,Arrington RS
Burchill S,Bronner SE
Burchill S,Beresneva N
Burchill S,Altınörs A
Burchill S,Bogomolova AV
Burchill S,Abdrahmanova K
Burchill S,Allain B
Burchill S,Aralbay S
Burchill S,Bekezhan О
Burchill S,Bunge M
Burchill S,Baldacchino J
Burchill S,Bates D
Burgos R,Baldacchino J
Burgos R,Artinian A
Burgos R,Akhtar Z
Burgos R,Abdrahmanova K
Burgos R,Bekezhan О
Burgos R,Aralbay S
Burgos R,Bronner SE
Burgos R,Arrington RS
Burgos R,Alonso CE
Burgos R,Altınörs A
Burgos R,Barros C
Burgos R,Burchill S
Burgos R,Bogomolova AV
Burgos R,Allain B
Burgos R,Bates D
Burgos R,Bunge M
Burkett P,Barros C
Burkett P,Bogomolova AV
Burkett P,Baldacchino J
Burkett P,Bekezhan О
Burkett P,Aralbay S
Burkett P,Abdrahmanova K
Burkett P,Bunge M
Burkett P,Bronner SE
Burkett P,Burgos R
Burkett P,Burchill S
Burkett P,Allain B
Burkett P,Bates D
Carpi G,Baldacchino J
Carpi G,Burkett P
Carpi G,Artinian A
Carpi G,Akhtar Z
Carpi G,Allain B
Carpi G,Aralbay S
Carpi G,Abdrahmanova K
Carpi G,Bekezhan О
Carpi G,Alonso CE
Carpi G,Bronner SE
Carpi G,Arrington RS
Carpi G,Altınörs A
Carpi G,Burchill S
Carpi G,Burgos R
Carpi G,Bates D
Carpi G,Bunge M
Carpi G,Bogomolova AV
Chari C,Burchill S
Chari C,Baldacchino J
Chari C,Bates D
Chari C,Bartov O
Chattopadhyay P,Akhtar Z
Chattopadhyay P,Artinian A
Chattopadhyay P,Bekezhan О
Chattopadhyay P,Aralbay S
Chattopadhyay P,Allain B
Chattopadhyay P,Abdrahmanova K
Chattopadhyay P,Alonso CE
Chattopadhyay P,Arrington RS
Chattopadhyay P,Bronner SE
Chattopadhyay P,Altınörs A
Chattopadhyay P,Carpi G
Chattopadhyay P,Burchill S
Chattopadhyay P,Burgos R
Chattopadhyay P,Bogomolova AV
Chattopadhyay P,Bates D
Chattopadhyay P,Bunge M
Chaudhary R,Burgos R
Chaudhary R,Bogomolova AV
Chaudhary R,Burkett P
Chaudhary R,Baldacchino J
Chaudhary R,Bekezhan О
Chaudhary R,Allain B
Chaudhary R,Aralbay S
Chaudhary R,Abdrahmanova K
Chaudhary R,Bunge M
Chaudhary R,Burchill S
Chaudhary R,Bates D
Chernysh MF,Beresneva N
Chernysh MF,Barros C
Chernysh MF,Chaudhary R
Chernysh MF,Baldacchino J
Chernysh MF,Burkett P
Chernysh MF,Akhtar Z
Chernysh MF,Artinian A
Chernysh MF,Arrington RS
Chernysh MF,Chattopadhyay P
